Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement Rate
3/30/2023 16:33,General ,FBPAGE,Community Engagement ,122342,9207,Text,7.525624888
3/30/2023 16:31,CSGO,TWITTER,Community Engagement ,2836,64,Photo,
3/30/2023 16:30,DOTA2,TWITTER,N/A ,9781,434,Photo,
3/30/2023 16:30,General ,INSTAGRAM,Community Engagement ,30760,1678,Photo,5.455136541
3/30/2023 16:29,General ,TWITTER,Community Engagement ,12988,217,Photo,1.670773021
3/30/2023 16:29,General ,FBPAGE,Community Engagement ,40387,1724,Photo,4.268700324
3/30/2023 16:16,DOTA2,TWITTER,Community Engagement ,3485,143,Photo,
3/30/2023 16:16,General ,FBPAGE,Community Engagement ,25017,2799,Photo,11.18839189
3/30/2023 15:32,DOTA2,TWITTER,Community Engagement ,1744,81,Text,
3/30/2023 15:32,General ,FBPAGE,Community Engagement ,32581,6342,Text,19.46533256
3/30/2023 15:12,General ,INSTAGRAM,Evergreen ,76,3,Video,3.947368421
3/30/2023 15:12,General ,TIKTOK_BUSINESS,Evergreen ,870,78,Video,8.965517241
3/30/2023 14:00,General ,TWITTER,Community Engagement ,9657,77,Photo,0.797349073
3/30/2023 13:54,General ,YOUTUBE,N/A ,0,0,Text,#DIV/0!
3/30/2023 13:54,General ,YOUTUBE,N/A ,0,0,Text,#DIV/0!
3/30/2023 13:40,CSGO,TWITTER,Community Engagement ,258,9,Text,
3/30/2023 13:40,CSGO,TWITTER,Community Engagement ,67,1,Text,
3/30/2023 13:39,CSGO,TWITTER,N/A ,0,0,Photo,
3/30/2023 13:39,CSGO,TWITTER,N/A ,0,0,Photo,
3/30/2023 13:33,General ,TWITTER,Community Engagement ,29434,138,Text,0.468845553
3/30/2023 13:11,General ,TWITTER,N/A ,0,0,Link,#DIV/0!
3/30/2023 13:11,DOTA2,TWITTER,Community Engagement ,4588,84,Photo,
3/30/2023 13:11,General ,FBPAGE,Community Engagement ,12104,1627,Photo,13.44183741
3/30/2023 13:08,Content Creators,YOUTUBE,N/A ,1728,35,Video,
3/30/2023 13:08,General ,TWITTER,Community Engagement ,9262,119,Video,1.284819693
3/30/2023 13:05,Content Creators,YOUTUBE,N/A ,8,0,Video,
3/30/2023 13:00,General ,FBPAGE,Community Engagement ,9903,445,Video,4.493587802
3/30/2023 12:00,General ,TWITTER,Evil Exhibited ,778,15,Text,1.928020566
3/30/2023 11:03,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/30/2023 11:03,General ,INSTAGRAM,Evil Exhibited ,7028,100,Video,1.422879909
3/30/2023 11:00,DOTA2,TWITTER,N/A ,1451,47,Text,
3/30/2023 11:00,DOTA2,TWITTER,N/A ,0,0,Video,
3/30/2023 11:00,General ,FBPAGE,Evil Exhibited ,9273,306,Video,3.299902944
3/30/2023 11:00,General ,TWITTER,Evil Exhibited ,52669,2713,Video,5.151037612
3/30/2023 10:54,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text,
3/30/2023 10:54,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text,
3/30/2023 10:54,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text,
3/30/2023 10:50,Valorant,YOUTUBE,Evil Exhibited ,356,18,Video,
3/30/2023 10:39,General ,YOUTUBE,N/A ,0,0,Text,#DIV/0!
3/30/2023 10:38,General ,YOUTUBE,N/A ,0,0,Text,#DIV/0!
3/30/2023 10:18,Valorant,YOUTUBE,Evil Exhibited ,0,0,Link,
3/30/2023 10:07,General ,INSTAGRAM,Evergreen ,12500,185,Video,1.48
3/30/2023 10:06,Valorant,YOUTUBE,Evil Exhibited ,12320,463,Video,
3/30/2023 10:00,General ,TIKTOK_BUSINESS,Evergreen ,1055,144,Video,13.6492891
3/30/2023 9:42,DOTA2,TWITTER,N/A ,157,1,Text,
3/30/2023 9:40,DOTA2,TWITTER,N/A ,679,45,Photo,
3/30/2023 9:10,General ,TWITTER,Community Engagement ,497,2,Text,0.402414487
3/30/2023 9:00,General ,INSTAGRAM,Community Engagement ,23121,2144,Carousel,9.272955322
3/30/2023 9:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/30/2023 9:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/30/2023 9:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/30/2023 9:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/30/2023 9:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/30/2023 9:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/30/2023 9:00,General ,TWITTER,Community Engagement ,10447,208,Photo,1.991002202
3/30/2023 9:00,General ,FBPAGE,Community Engagement ,59132,5038,Photo,8.519921531
3/30/2023 9:00,General ,FBPAGE,Community Engagement ,29566,2519,Photo,8.519921531
3/30/2023 9:00,General ,FBPAGE,Community Engagement ,29566,2519,Photo,8.519921531
3/30/2023 8:30,General ,FBPAGE,Community Engagement ,20930,5369,Photo,25.65217391
3/30/2023 8:30,General ,FBPAGE,Community Engagement ,20930,5369,Photo,25.65217391
3/30/2023 8:30,General ,FBPAGE,Community Engagement ,41860,10736,Photo,25.64739608
3/30/2023 8:30,DOTA2,TWITTER,Community Engagement ,6655,307,Photo,
3/29/2023 16:27,General ,TIKTOK_BUSINESS,N/A ,415,45,Video,10.84337349
3/29/2023 15:48,General ,TWITTER,N/A ,0,0,Link,#DIV/0!
3/29/2023 15:30,General ,INSTAGRAM,Evergreen ,41667,1516,Video,3.638370893
3/29/2023 15:30,General ,TIKTOK_BUSINESS,Evergreen ,119,4,Video,3.361344538
3/29/2023 14:48,General ,TWITTER,Evil Exhibited ,976,16,Text,1.639344262
3/29/2023 14:37,General ,YOUTUBE,N/A ,2261,24,Video,1.061477222
3/29/2023 14:34,General ,YOUTUBE,N/A ,2402,36,Video,1.498751041
3/29/2023 14:19,General ,TWITTER,Evil Exhibited ,171,11,Text,6.432748538
3/29/2023 13:58,General ,YOUTUBE,N/A ,2709,89,Video,3.285345146
3/29/2023 13:25,General ,TWITTER,Evil Exhibited ,2088,55,Video,2.634099617
3/29/2023 13:24,General ,TWITTER,Evil Exhibited ,2402,58,Video,2.414654455
3/29/2023 13:10,General ,TWITTER,Evil Exhibited ,1651,18,Text,1.090248334
3/29/2023 13:07,General ,YOUTUBE,N/A ,0,0,Video,#DIV/0!
3/29/2023 13:06,General ,TWITTER,Evil Exhibited ,506,28,Text,5.533596838
3/29/2023 13:06,General ,TWITTER,Evil Exhibited ,428,9,Text,2.102803738
3/29/2023 13:00,DOTA2,TWITTER,Evil Exhibited ,1146,79,Video,
3/29/2023 13:00,General ,TWITTER,Evil Exhibited ,17964,606,Text,3.373413494
3/29/2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/29/2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/29/2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/29/2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/29/2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/29/2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/29/2023 13:00,General ,INSTAGRAM,Evil Exhibited ,9463,195,Video,2.060657297
3/29/2023 13:00,General ,TWITTER,Evil Exhibited ,172409,8900,Video,5.162143508
3/29/2023 13:00,General ,FBPAGE,Evil Exhibited ,10279,819,Video,7.967701138
3/29/2023 13:00,General ,FBPAGE,Evil Exhibited ,10633,516,Video,4.852816703
3/29/2023 12:49,General ,INSTAGRAM,Evergreen ,186,6,Video,3.225806452
3/29/2023 12:49,General ,TIKTOK_BUSINESS,Evergreen ,101,8,Video,7.920792079
3/29/2023 12:38,General ,TWITTER,Community Engagement ,26091,32,Link,0.122647656
3/29/2023 12:26,General ,INSTAGRAM,N/A ,0,0,Photo,#DIV/0!
3/29/2023 12:26,General ,INSTAGRAM,Community Engagement ,3999,0,Photo,0
3/29/2023 12:25,General ,TWITTER,Community Engagement ,12469,64,Link,0.513272917
3/29/2023 12:25,General ,TWITTER,Community Engagement ,139835,1095,Photo,0.783065756
3/29/2023 12:25,General ,FBPAGE,Community Engagement ,15882,171,Photo,1.076690593
3/29/2023 12:12,Valorant,YOUTUBE,Evil Exhibited ,757,39,Video,
3/29/2023 11:33,General ,TWITTER,Community Engagement ,11436,188,Video,1.643931445
3/29/2023 11:30,General ,YOUTUBE,N/A ,0,0,Video,#DIV/0!
3/29/2023 11:01,General,LINKEDIN_COMPANY,Community Engagement ,888,23,Video,2.59009009
3/29/2023 11:00,General ,TWITTER,Community Engagement ,17971,150,Video,0.834678092
3/29/2023 10:49,General ,TWITTER,Community Engagement ,504,19,Text,3.76984127
3/29/2023 10:27,General ,TWITTER,Community Engagement ,1942,24,Text,1.235839341
3/29/2023 9:07,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/29/2023 9:05,General ,INSTAGRAM,Community Engagement ,23671,1340,Video,5.660935322
3/29/2023 9:00,General ,TWITTER,Community Engagement ,17441,599,Video,3.434436099
3/29/2023 9:00,DOTA2,TWITTER,Community Engagement ,7322,615,Video,
3/29/2023 9:00,General ,FBPAGE,Community Engagement ,16352,4981,Video,30.46110568
3/29/2023 9:00,General ,FBPAGE,Community Engagement ,136321,19984,Video,14.65951688
3/29/2023 7:35,DOTA2,TWITTER,N/A ,153,11,Text,
3/29/2023 7:30,DOTA2,TWITTER,Evil Exhibited ,1027,24,Photo,
3/29/2023 7:30,General ,FBPAGE,Evil Exhibited ,19260,1086,Photo,5.638629283
3/28/2023 23:14,CSGO,TWITTER,N/A ,0,0,Text,
3/28/2023 23:11,CSGO,TWITTER,N/A ,0,0,Text,
3/28/2023 23:11,CSGO,TWITTER,N/A ,0,0,Text,
3/28/2023 23:11,CSGO,TWITTER,N/A ,0,0,Text,
3/28/2023 23:11,CSGO,TWITTER,N/A ,0,0,Text,
3/28/2023 23:10,CSGO,TWITTER,N/A ,0,0,Text,
3/28/2023 23:10,CSGO,TWITTER,Community Engagement ,19297,250,Photo,
3/28/2023 21:29,CSGO,TWITTER,Community Engagement ,846,11,Photo,
3/28/2023 21:23,CSGO,TWITTER,Community Engagement ,2940,484,Video,
3/28/2023 20:09,CSGO,TWITTER,Community Engagement ,1206,10,Photo,
3/28/2023 19:16,CSGO,TWITTER,Community Engagement ,2068,53,Photo,
3/28/2023 17:46,CSGO,TWITTER,Community Engagement ,665,10,Photo,
3/28/2023 17:30,General ,INSTAGRAM,Evil Exhibited ,7031,107,Photo,1.521831887
3/28/2023 17:30,General ,FBPAGE,Evil Exhibited ,13976,93,Photo,0.665426445
3/28/2023 17:30,General ,TWITTER,Evil Exhibited ,12802,100,Photo,0.781127949
3/28/2023 17:29,General ,YOUTUBE,N/A ,136,5,Video,3.676470588
3/28/2023 17:08,DOTA2,TWITTER,N/A ,732,24,Text,
3/28/2023 16:47,CSGO,TWITTER,Community Engagement ,997,15,Photo,
3/28/2023 16:31,General ,INSTAGRAM,N/A ,0,0,Photo,#DIV/0!
3/28/2023 16:31,General ,INSTAGRAM,Community Engagement ,4544,0,Photo,0
3/28/2023 16:30,General ,TWITTER,Community Engagement ,61508,1095,Photo,1.780256227
3/28/2023 16:30,General ,FBPAGE,Community Engagement ,16669,133,Photo,0.797888296
3/28/2023 16:08,General ,TWITTER,N/A ,0,0,Text,#DIV/0!
3/28/2023 16:03,Valorant,YOUTUBE,Evil Exhibited ,0,0,Video,
3/28/2023 15:30,CSGO,TWITTER,Community Engagement ,816,8,Photo,
3/28/2023 15:30,General ,TWITTER,Community Engagement ,13362,65,Photo,0.486454124
3/28/2023 14:59,Valorant,YOUTUBE,Evil Exhibited ,3,0,Video,
3/28/2023 14:35,CSGO,TWITTER,Community Engagement ,2365,38,Photo,
3/28/2023 14:03,General ,TIKTOK_BUSINESS,N/A ,196,11,Video,5.612244898
3/28/2023 14:02,General ,INSTAGRAM,N/A ,24772,1145,Video,4.622154045
3/28/2023 14:00,General ,FBPAGE,Community Engagement ,16977,140,Photo,0.824645108
3/28/2023 14:00,General ,TWITTER,Community Engagement ,24400,435,Photo,1.782786885
3/28/2023 13:43,General ,TWITTER,Evil Exhibited ,434,30,Text,6.912442396
3/28/2023 12:43,General ,FBPAGE,Evil Exhibited ,8040,258,Video,3.208955224
3/28/2023 12:42,DOTA2,TWITTER,Evil Exhibited ,0,0,Video,
3/28/2023 12:42,General ,TWITTER,Evil Exhibited ,43253,1126,Video,2.603287633
3/28/2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/28/2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/28/2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/28/2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/28/2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/28/2023 12:41,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/28/2023 12:41,General ,INSTAGRAM,Evil Exhibited ,7136,104,Video,1.457399103
3/28/2023 12:23,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/28/2023 12:23,General ,INSTAGRAM,N/A ,8580,178,Video,2.074592075
3/28/2023 10:45,Valorant,YOUTUBE,Evil Exhibited ,1,0,Video,
3/27/2023 22:18,CSGO,TWITTER,Community Engagement ,894,9,Photo,
3/27/2023 21:11,CSGO,TWITTER,Community Engagement ,1219,14,Photo,
3/27/2023 20:05,CSGO,TWITTER,Community Engagement ,691,7,Photo,
3/27/2023 19:04,CSGO,TWITTER,Community Engagement ,2200,36,Photo,
3/27/2023 17:08,CSGO,TWITTER,Community Engagement ,727,7,Photo,
3/27/2023 16:00,General ,INSTAGRAM,Community Engagement ,4699,0,Photo,0
3/27/2023 15:36,CSGO,TWITTER,Community Engagement ,1128,14,Photo,
3/27/2023 14:34,CSGO,TWITTER,Community Engagement ,1886,24,Photo,
3/27/2023 14:31,General ,TWITTER,Community Engagement ,22549,725,Photo,3.215220187
3/27/2023 14:30,General ,INSTAGRAM,Community Engagement ,8380,327,Carousel,3.902147971
3/27/2023 11:23,General ,TWITTER,Community Engagement ,1648,42,Text,2.548543689
3/27/2023 11:02,General ,TWITTER,Community Engagement ,97345,808,Photo,0.830037496
3/27/2023 10:41,General ,TIKTOK_BUSINESS,N/A ,2595,134,Video,5.163776493
3/27/2023 10:20,General ,TWITTER,Evil Exhibited ,297,12,Text,4.04040404
3/27/2023 10:00,General ,TWITTER,Evil Exhibited ,26952,719,Video,2.667705551
3/27/2023 9:00,General ,FBPAGE,Community Engagement ,26354,277,Photo,1.051073841
3/27/2023 8:52,DOTA2,TWITTER,N/A ,0,0,Photo,
3/27/2023 8:51,DOTA2,TWITTER,N/A ,588,42,Photo,
3/26/2023 23:16,General ,TWITTER,Evil Exhibited ,114,2,Text,1.754385965
3/26/2023 23:14,General ,TWITTER,Evil Exhibited ,242,16,Text,6.611570248
3/26/2023 23:14,General ,TWITTER,N/A ,0,0,Text,#DIV/0!
3/26/2023 23:13,General ,TWITTER,Evil Exhibited ,293,5,Text,1.706484642
3/26/2023 23:13,General ,TWITTER,N/A ,0,0,Text,#DIV/0!
3/26/2023 23:09,General ,TWITTER,Evil Exhibited ,209,4,Text,1.913875598
3/26/2023 23:09,General ,TWITTER,Evil Exhibited ,201,5,Text,2.487562189
3/26/2023 23:08,General ,TWITTER,N/A ,0,0,Text,#DIV/0!
3/26/2023 23:08,General ,TWITTER,N/A ,0,0,Text,#DIV/0!
3/26/2023 23:06,General ,TWITTER,Evil Exhibited ,123,4,Text,3.25203252
3/26/2023 23:05,General ,TWITTER,N/A ,0,0,Link,#DIV/0!
3/26/2023 23:01,General ,TWITTER,Evil Exhibited ,100899,464,Photo,0.459865806
3/26/2023 21:52,General ,TWITTER,Evil Exhibited ,11145,35,Photo,0.314042171
3/26/2023 20:53,General ,TWITTER,Evil Exhibited ,19084,91,Photo,0.476839237
3/26/2023 20:00,DOTA2,TWITTER,N/A ,10,0,Text,
3/26/2023 18:15,General ,TWITTER,N/A ,0,0,Link,#DIV/0!
3/26/2023 18:01,General ,TWITTER,Evil Exhibited ,56409,206,Photo,0.365189952
3/26/2023 17:20,General ,TWITTER,Community Engagement ,13601,154,Photo,1.132269686
3/26/2023 17:18,General ,INSTAGRAM,N/A ,0,0,Photo,#DIV/0!
3/26/2023 17:18,General ,INSTAGRAM,Community Engagement ,3831,0,Photo,0
3/26/2023 17:14,General ,INSTAGRAM,Community Engagement ,3993,0,Photo,0
3/26/2023 17:14,General ,TWITTER,N/A ,0,0,Photo,#DIV/0!
3/26/2023 16:53,General ,INSTAGRAM,Community Engagement ,4044,0,Video,0
3/26/2023 16:52,General ,TWITTER,N/A ,0,0,Photo,#DIV/0!
3/26/2023 16:49,General ,INSTAGRAM,N/A ,0,0,Text,#DIV/0!
3/26/2023 16:46,DOTA2,TWITTER,N/A ,204,6,Text,
3/26/2023 16:44,DOTA2,TWITTER,N/A ,4921,403,Photo,
3/26/2023 16:42,General ,TWITTER,N/A ,13633,174,Photo,1.276314824
3/26/2023 16:42,DOTA2,TWITTER,Community Engagement ,948,24,Photo,
3/26/2023 16:42,General ,FBPAGE,Community Engagement ,24893,1610,Photo,6.467681678
3/26/2023 16:41,General ,INSTAGRAM,Community Engagement ,4233,0,Photo,0
3/26/2023 16:40,General ,TWITTER,N/A ,0,0,Photo,#DIV/0!
3/26/2023 16:40,General ,TWITTER,Community Engagement ,13080,169,Photo,1.29204893
3/26/2023 16:35,DOTA2,TWITTER,N/A ,0,0,Photo,
3/26/2023 16:35,General ,TWITTER,Community Engagement ,12303,350,Photo,2.844834593
3/26/2023 16:34,DOTA2,TWITTER,N/A ,858,14,Text,
3/26/2023 16:27,General ,TWITTER,Community Engagement ,28257,937,Text,3.315992497
3/26/2023 15:55,DOTA2,TWITTER,N/A ,140,2,Video,
3/26/2023 15:52,DOTA2,TWITTER,N/A ,661,14,Link,
3/26/2023 15:40,General ,TWITTER,Community Engagement ,2124,40,Video,1.883239171
3/26/2023 15:39,General ,TWITTER,N/A ,0,0,Photo,#DIV/0!
3/26/2023 15:39,General ,TWITTER,Community Engagement ,11554,232,Video,2.00796261
3/26/2023 15:38,DOTA2,TWITTER,N/A ,779,21,Video,
3/26/2023 15:27,General ,INSTAGRAM,N/A ,0,0,Photo,#DIV/0!
3/26/2023 15:26,General ,INSTAGRAM,Community Engagement ,4312,0,Video,0
3/26/2023 15:07,General ,INSTAGRAM,N/A ,0,0,Photo,#DIV/0!
3/26/2023 14:59,DOTA2,TWITTER,N/A ,617,12,Link,
3/26/2023 14:55,DOTA2,TWITTER,N/A ,0,0,Photo,
3/26/2023 14:54,General ,TWITTER,N/A ,0,0,Photo,#DIV/0!
3/26/2023 14:47,General ,TWITTER,Community Engagement ,5202,226,Photo,4.344482891
3/26/2023 14:45,General ,TWITTER,Community Engagement ,10227,93,Photo,0.909357583
3/26/2023 14:44,General ,TWITTER,N/A ,0,0,Video,#DIV/0!
3/26/2023 14:43,DOTA2,TWITTER,N/A ,1171,30,Text,
3/26/2023 14:41,DOTA2,TWITTER,N/A ,0,0,Video,
3/26/2023 14:39,General ,TWITTER,Community Engagement ,1839,58,Video,3.153887983
3/26/2023 14:39,DOTA2,TWITTER,N/A ,355,9,Text,
3/26/2023 14:38,General ,TWITTER,N/A ,0,0,Video,#DIV/0!
3/26/2023 14:38,General ,TWITTER,Community Engagement ,12912,211,Photo,1.634138786
3/26/2023 14:18,DOTA2,TWITTER,N/A ,585,9,Video,
3/26/2023 14:05,DOTA2,TWITTER,N/A ,562,13,Photo,
3/26/2023 14:02,DOTA2,TWITTER,Community Engagement ,1040,29,Photo,
3/26/2023 14:02,General ,FBPAGE,Community Engagement ,16814,829,Photo,4.93041513
3/26/2023 14:01,General ,TWITTER,Community Engagement ,31115,221,Photo,0.710268359
3/26/2023 14:01,General ,INSTAGRAM,Community Engagement ,4347,0,Photo,0
3/26/2023 13:52,DOTA2,TWITTER,N/A ,12015,526,Photo,
3/26/2023 13:46,General ,INSTAGRAM,Community Engagement ,4630,0,Video,0
3/26/2023 12:36,General ,FBPAGE,N/A ,0,0,Text,#DIV/0!
3/26/2023 12:32,General ,FBPAGE,N/A ,0,0,Text,#DIV/0!
3/26/2023 12:30,General ,FBPAGE,Community Engagement ,42175,11988,Photo,28.42442205
3/26/2023 12:30,General ,FBPAGE,Community Engagement ,21088,5994,Photo,28.4237481
3/26/2023 12:30,General ,FBPAGE,Community Engagement ,21088,5994,Photo,28.4237481
3/26/2023 12:30,DOTA2,TWITTER,Community Engagement ,4722,637,Photo,
3/26/2023 12:09,DOTA2,TWITTER,N/A ,206,3,Text,
3/26/2023 12:06,General ,FBPAGE,N/A ,0,0,Text,#DIV/0!
3/26/2023 12:02,DOTA2,TWITTER,N/A ,666,5,Text,
3/26/2023 12:01,DOTA2,TWITTER,Community Engagement ,3723,161,Photo,
3/26/2023 12:01,General ,FBPAGE,Community Engagement ,41892,4219,Photo,10.0711353
3/26/2023 12:00,General ,TWITTER,Community Engagement ,20912,378,Photo,1.807574598
3/26/2023 12:00,General ,INSTAGRAM,Community Engagement ,17411,528,Carousel,3.032565619
3/26/2023 12:00,DOTA2,TWITTER,Community Engagement ,999,23,Photo,
3/26/2023 12:00,General ,FBPAGE,Community Engagement ,16484,782,Photo,4.743994176
3/26/2023 11:00,General ,TWITTER,Community Engagement ,9539,82,Photo,0.859628892
3/26/2023 10:16,General ,FBPAGE,N/A ,0,0,Text,#DIV/0!
3/26/2023 10:12,DOTA2,TWITTER,Community Engagement ,1419,58,Photo,
3/26/2023 10:12,General ,FBPAGE,Community Engagement ,26659,1554,Photo,5.829175888
3/26/2023 10:06,General ,FBPAGE,N/A ,0,0,Text,#DIV/0!
3/26/2023 10:06,General ,FBPAGE,N/A ,0,0,Text,#DIV/0!
3/26/2023 10:05,General ,FBPAGE,N/A ,0,0,Text,#DIV/0!
3/26/2023 10:02,DOTA2,TWITTER,N/A ,0,0,Photo,
3/26/2023 10:00,General ,INSTAGRAM,Community Engagement ,9547,321,Photo,3.362312768
